,Total poids chargeKg],Total poids charge combustible [Kg],Total composant charge M +F + C + fines [Kg],Total humide [Kg],Densite de chargement [t/m3],Permeabilite avant allumage [Nm3/m2/mn],Humidite sur sec [%/sec],TOP SPEED [min],FE total [Kg],CaO [Kg],SiO2 [Kg],Al2O3 [Kg],MN [Kg],TiO2 [Kg],H20 HYD [Kg],Fe++ [Kg],Graphite [Kg],Charbon [Kg],Carbone [Kg],H2O SA [Kg],H2O DI [Kg],H2O ADD [Kg],Numerical Serie,"Mailles > 2,5mm  Poids [Kg]","Mailles < 1,25mm   Poids [Kg]","Mailles > 2,5mm  %","Mailles < 1,25mm    %",After,Fines de retour chargees %,Total poids charge %
130,110.785066,4.929935,167.783982,200.0,2.101923,21.404818,6.7,25.200001,62.01898496,8.228186991,4.99940301,1.109528956,0.164709949,0.080486954,1.7210879730000002,3.752977979,0.064167952,4.957296005,4.23253904,0.194700999,0.169569021,11.31527595,4474,25.529224,14.023345,49.029621,26.932244,0,0.3103334441067205,0.6602839238849391
2154,118.269591,4.849053,164.749542,200.0,2.071596,22.248662,7.3,24.5,63.09790602,11.13257505,5.89870002,1.377010974,0.181357965,0.09210001,1.109420035,1.6379720219999998,0.17428001699999998,4.863773024,3.996464996,0.267591055,0.267591055,12.08275903,6624,20.815449,11.240342,50.0,27.0,1,0.2526920347978873,0.7178750821656306
1050,115.427551,5.829091,161.88714199999995,200.0,2.041269,24.615931,7.6,22.9,62.94133304,9.226836009,5.609993948,1.596538986,0.286784967,0.207149047,1.637884031,4.191420014,0.031236048,5.848813969,4.652613983999999,0.213560047,0.204526027,12.36059501,5453,19.856125,11.474053,48.869999,28.24,0,0.25098039596004484,0.7130124701318157
2059,116.068617,6.964117,163.88888899999995,200.0,2.064597,16.597263,7.5,24.17,63.38825106,10.27737705,6.040484014,0.61541704,0.093974986,0.159659005,0.173967032,1.338578005,0.100455022,6.981954993,5.543672022999999,0.357617012,0.34248903299999994,12.348837,6529,23.022442,9.041467,56.349998,22.129999,1,0.2492917869496327,0.7082152896893456
752,103.881099,5.349876999999998,150.783416,200.0,1.908295,12.178965,8.0,42.0,51.95876806,11.71287097,9.391961998,0.957625032,0.048724035,0.052804999000000005,0.47867596,13.89739595,0.129373004,5.3681139710000005,4.270226958,0.192202,0.18407202,12.11851895,5134,19.965947,11.343816,48.049999,27.299999,0,0.2755769905093542,0.6889424696413564
2910,123.480121,6.6679270000000015,173.613051,210.0,2.17191,15.942891,6.75,28.700001,66.94572905,11.06135506,6.3671329760000015,1.23996696,0.196186044,0.168956943,0.362731022,3.698028036,0.228711964,6.685595041,5.335105024,0.372196975,0.353129941,11.77377006,7494,22.201925,12.557039,51.080002,28.889999,1,0.2503556256263246,0.7112375497623159
1865,116.490572,7.0476800000000015,164.542933,200.0,2.078595,15.288518,7.6,27.9,64.30050403,9.322313979,5.786469951,0.882579973,0.232249029,0.112635987,0.152817995,1.3444140180000002,0.103529049,7.084671032,5.625228963,0.215927052,0.206794058,12.58661703,6336,21.732482,9.841124,53.0,24.0,1,0.2492035437340843,0.7079646015547808
2104,116.770074,5.021113,162.89425400000005,200.0,2.048267,21.5348,7.3,24.799999,62.32706795,11.15176305,5.924166025,1.38508301,0.236139015,0.096395021,1.871060958,4.155027002,0.59786499,5.036367058,4.138282004,0.264199051,0.264199051,11.94669202,6574,21.03655,11.044395,51.18,26.870001,1,0.2523297537554639,0.7168458747476751
1418,110.649888,6.362369,161.272211,210.0,2.010941,13.087448,6.8,49.200001,59.18939295,9.846596958,5.664579967000001,1.129631968,0.258873037,0.145144981,0.0,9.129320035,0.034273009,6.36832603,5.3048150110000005,0.0,0.0,10.97677905,5861,20.111723,13.100947,45.439999,29.6,1,0.2744425386466612,0.6861063497170011
957,112.329491,5.695105,157.564578,200.0,1.992278,19.901973,8.0,25.299999,59.75392599,9.675409982,5.731011982999999,1.25405698,0.090053946,0.18874702,1.455305047,3.428647025,0.00945599,5.7090109710000005,4.541403951,0.207633024,0.198850004,12.65185199,5359,18.915927,11.814546,47.84,29.879999,0,0.2509446126908041,0.7129108104487798
1718,112.405555,5.620278,157.59259,200.0,1.98528,15.704938,8.5,23.4,59.50454504,10.01329905,5.5549969689999985,1.004159951,0.189201976,0.090051981,0.399159981,1.283779052,0.029922993,5.587339957,4.78276299,0.206053045,0.197337024,13.33364004,6180,16.689258,14.14116,42.18,35.74000200000001,1,0.2510699075381654,0.7132667532147292
2762,122.465852,6.306991,171.880825,200.0,2.153247,18.679358,7.4,27.4,66.03528597,10.97168001,6.213982955,1.300940038,0.44307505,0.15911304,1.996761955,3.615007956,0.037530958,6.293730049,5.022396975,0.377278941,0.361392028,12.71918094,7266,22.364421,11.919357000000002,51.880001,27.65,1,0.25080157137947184,0.7125044460311382
2261,119.068534,6.929789,167.910448,200.0,2.099591,13.563355,6.7,28.25,64.350602,10.55453796,6.129441967999999,1.199568047,0.330866987,0.16884003600000005,0.023874991,1.0063269540000002,0.163211984,6.947760949,5.476224997,0.366871996,0.351352975,11.30271799,6737,21.174006,11.136052,50.52,26.57,1,0.249609988533888,0.7091192681470304
